ID,教科名,学年,科目,区分,単位数
C-2025-0,国語IA,1,一般,必修,1
C-2025-1,国語IB,1,一般,必修,1
C-2025-2,地理A,1,一般,必修,1
C-2025-3,地理B,1,一般,必修,1
C-2025-4,芸術,1,一般,必修,1
C-2025-5,英語(ＬＳ)IA,1,一般,必修,1
C-2025-6,英語(ＬＳ)IB,1,一般,必修,1
C-2025-7,英語(ＲＷ)IA,1,一般,必修,1
C-2025-8,英語(ＲＷ)IB,1,一般,必修,1
C-2025-9,英語(Ｇ)A,1,一般,必修,1
C-2025-10,英語(Ｇ)B,1,一般,必修,1
C-2025-11,保健体育IA,1,一般,必修,1
C-2025-12,保健体育IB,1,一般,必修,1
C-2025-13,基礎数学I,1,一般,必修,3
C-2025-14,基礎数学II,1,一般,必修,2
C-2025-15,基礎数学III,1,一般,必修,1
C-2025-16,基礎科学,1,一般,必修,1
C-2025-17,物理学I,1,一般,必修,1
C-2025-18,基礎化学IA,1,一般,必修,1
C-2025-19,基礎化学IB,1,一般,必修,1
C-2025-20,環境都市工学概論,1,専門,必修,1
C-2025-21,技術者入門I,1,専門,必修,1
C-2025-22,技術者入門II,1,専門,必修,1
C-2025-23,情報I,1,専門,必修,1
C-2025-24,測量学I,1,専門,必修,1
C-2025-25,力学基礎,1,専門,必修,1
C-2025-26,情報セキュリティ演習,1,専門,選択,1
C-2025-27,国語IIA,2,一般,必修,1
C-2025-28,国語IIB,2,一般,必修,1
C-2025-29,歴史A,2,一般,必修,1
C-2025-30,歴史B,2,一般,必修,2
C-2025-31,英語(LS)IIA,2,一般,必修,1
C-2025-32,英語(LS)IIB,2,一般,必修,1
C-2025-33,英語(RW)IIA,2,一般,必修,1
C-2025-34,英語(RW)IIB,2,一般,必修,1
C-2025-35,保健体育IIA,2,一般,必修,1
C-2025-36,保健体育IIB,2,一般,必修,1
C-2025-37,線形代数IA,2,一般,必修,1
C-2025-38,線形代数IB,2,一般,必修,1
C-2025-39,微分積分IA,2,一般,必修,2
C-2025-40,微分積分IB,2,一般,必修,2
C-2025-41,物理学IIA,2,一般,必修,1
C-2025-42,物理学IIB,2,一般,必修,1
C-2025-43,化学IA,2,一般,必修,1
C-2025-44,化学IB,2,一般,必修,1
C-2025-45,情報II,2,専門,必修,1
C-2025-46,測量学II,2,専門,必修,1
C-2025-47,測量学III,2,専門,必修,1
C-2025-48,測量実習A,2,専門,必修,1
C-2025-49,測量実習B,2,専門,必修,1
C-2025-50,建設材料学,2,専門,必修,1
C-2025-51,材料実験,2,専門,必修,2
C-2025-52,構造力学I,2,専門,必修,1
C-2025-53,構造力学II,2,専門,必修,1
C-2025-54,情報セキュリティ演習,2,専門,選択,1
C-2025-55,日本文化論,3,一般,選択,1
C-2025-56,日本事情IIA,3,一般,必修（留学生）,1
C-2025-57,日本事情IIB,3,一般,必修（留学生）,1
C-2025-58,日本事情III,3,一般,必修（留学生）,1
C-2025-59,国語III,3,一般,必修,1
C-2025-60,現代社会A,3,一般,必修,1
C-2025-61,現代社会B,3,一般,必修,2
C-2025-62,英語VA,3,一般,必修,1
C-2025-63,英語VB,3,一般,必修,1
C-2025-64,ドイツ語IA,3,一般,必修,1
C-2025-65,ドイツ語IB,3,一般,必修,1
C-2025-66,体育IA,3,一般,必修,1
C-2025-67,体育IB,3,一般,必修,1
C-2025-68,線形代数II,3,一般,必修,1
C-2025-69,微分積分II,3,一般,必修,2
C-2025-70,微分積分III,3,一般,必修,2
C-2025-71,ライフサイエンス・アースサイエンス,3,一般,必修,1
C-2025-72,物理学III,3,一般,必修,1
C-2025-73,物理学IV,3,一般,必修,1
C-2025-74,化学II,3,一般,必修,1
C-2025-75,一般特別セミナー,3,一般,必修選択,1
C-2025-76,日本語IA,3,一般,必修(留学生）,1
C-2025-77,日本事情IA,3,一般,必修（留学生）,1
C-2025-78,日本事情IB,3,一般,必修（留学生）,1
C-2025-79,日本語IB,3,一般,必修（留学生）,1
C-2025-80,プログラミング演習,3,専門,必修,1
C-2025-81,測量学IV,3,専門,必修,1
C-2025-82,土木総合学習I,3,専門,必修,1
C-2025-83,水理学I,3,専門,必修,1
C-2025-84,水理学II,3,専門,必修,1
C-2025-85,土質力学I,3,専門,必修,1
C-2025-86,土質力学II,3,専門,必修,1
C-2025-87,コンクリート構造学I,3,専門,必修,1
C-2025-88,コンクリート構造学II,3,専門,必修,2
C-2025-89,環境概論,3,専門,必修,1
C-2025-90,上下水道工学I,3,専門,必修,2
C-2025-91,水環境工学,3,専門,必修,1
C-2025-92,測量実習C,3,専門,必修,1
C-2025-93,プロジェクト実習,3,専門,必修選択,1
C-2025-94,水資源工学,3,専門,選択,2
C-2025-95,日本文化論,4,一般,選択,1
C-2025-96,国語表現,4,一般,必修,1
C-2025-97,体育II,4,一般,必修,1
C-2025-98,英語演習IA,4,一般,必修選択,1
C-2025-99,英会話IA,4,一般,必修選択,1
C-2025-100,英語演習IB,4,一般,必修選択,1
C-2025-101,英会話IB,4,一般,必修選択,1
C-2025-102,哲学A,4,一般,必修選択,2
C-2025-103,経済学A,4,一般,必修選択,2
C-2025-104,社会学A,4,一般,必修選択,2
C-2025-105,哲学B,4,一般,必修選択,2
C-2025-106,経済学B,4,一般,必修選択,2
C-2025-107,社会学B,4,一般,必修選択,2
C-2025-108,ドイツ語IIA,4,一般,選択,1
C-2025-109,中国語IA,4,一般,選択,1
C-2025-110,ドイツ語IIB,4,一般,選択,1
C-2025-111,中国語IB,4,一般,選択,1
C-2025-112,日本語IIA,4,一般,必修,1
C-2025-113,日本語IIB,4,一般,必修,1
C-2025-114,学外実習,4,専門,選択,2
C-2025-115,応用物理,4,専門,必修,1
C-2025-116,構造力学III,4,専門,必修,2
C-2025-117,構造力学IV,4,専門,必修,2
C-2025-118,水理学III,4,専門,必修,2
C-2025-119,水理学IV,4,専門,必修,2
C-2025-120,土質力学III,4,専門,必修,2
C-2025-121,土質力学IV,4,専門,必修,2
C-2025-122,コンクリート構造設計学,4,専門,必修,2
C-2025-123,上下水道工学II,4,専門,必修,2
C-2025-124,水域システム工学,4,専門,必修,2
C-2025-125,コンクリート構造設計製図,4,専門,必修,2
C-2025-126,土木総合学習II,4,専門,必修,1
C-2025-127,防災工学,4,専門,必修,2
C-2025-128,水理実験,4,専門,必修,2
C-2025-129,土質実験,4,専門,必修,2
C-2025-130,応用物理実験,4,専門,必修,1
C-2025-131,課題研究,4,専門,必修,1
C-2025-132,応用数学A,4,専門,必修選択,2
C-2025-133,応用数学B,4,専門,必修選択,2
C-2025-134,応用数学C,4,専門,必修選択,2
C-2025-135,日本文化論,5,一般,選択,1
C-2025-136,体育III,5,一般,必修,1
C-2025-137,英語演習II,5,一般,必修選択,1
C-2025-138,英会話II,5,一般,必修選択,1
C-2025-139,国文学,5,一般,選択,1
C-2025-140,心理学,5,一般,選択,1
C-2025-141,法学,5,一般,選択,1
C-2025-142,ドイツ語IIIA,5,一般,選択,1
C-2025-143,中国語IIA,5,一般,選択,1
C-2025-144,ドイツ語IIIB,5,一般,選択,1
C-2025-145,中国語IIB,5,一般,選択,1
C-2025-146,日本語IIIA,5,一般,必修(留学生）,1
C-2025-147,日本語IIIB,5,一般,必修(留学生）,1
C-2025-148,統計学,5,専門,必修,2
C-2025-149,環境統計学,5,専門,必修,2
C-2025-150,土木英語演習,5,専門,必修,1
C-2025-151,卒業研究I,5,専門,必修,2
C-2025-152,卒業研究II,5,専門,必修,6
C-2025-153,環境工学実験,5,専門,必修選択,2
C-2025-154,構造工学実験,5,専門,必修選択,2
C-2025-155,土木総合学習III,5,専門,選択,1
C-2025-156,生態環境工学,5,専門,選択,1
C-2025-157,計算工学,5,専門,選択,1
C-2025-158,建設プロジェクト実践,5,専門,選択,1
C-2025-159,橋構造,5,専門,選択,1
C-2025-160,耐震構造,5,専門,選択,1
C-2025-161,プレストレストコンクリート工学,5,専門,選択,1
C-2025-162,環境管理手法,5,専門,選択,2
C-2025-163,空間情報工学,5,専門,選択,2
