ID,教科名,学年,科目,区分,単位数
D-2021-0,国語ⅠA,1,一般,必修,2
D-2021-1,基礎科学,1,一般,必修,1
D-2021-2,物理学Ⅰ,1,一般,必修,1
D-2021-3,基礎化学ⅠA,1,一般,必修,1
D-2021-4,基礎化学ⅠB,1,一般,必修,1
D-2021-5,国語ⅠB,1,一般,必修,2
D-2021-6,地理A,1,一般,必修,1
D-2021-7,地理B,1,一般,必修,2
D-2021-8,美術,1,一般,必修,1
D-2021-9,英語ⅠA,1,一般,必修,1
D-2021-10,英語ⅠB,1,一般,必修,1
D-2021-11,英語ⅡA,1,一般,必修,1
D-2021-12,英語ⅡB,1,一般,必修,1
D-2021-13,英文法,1,一般,必修,2
D-2021-14,保健体育ⅠA,1,一般,必修,1
D-2021-15,保健体育ⅠB,1,一般,必修,1
D-2021-16,基礎数学Ⅰ,1,一般,必修,3
D-2021-17,基礎数学Ⅱ,1,一般,必修,2
D-2021-18,基礎数学Ⅲ,1,一般,必修,1
D-2021-19,機械制御入門Ⅰ,1,専門,必修,1
D-2021-20,機械制御入門Ⅱ,1,専門,必修,1
D-2021-21,電子計算機Ⅰ,1,専門,必修,1
D-2021-22,技術者入門I,1,専門,必修,1
D-2021-23,技術者入門Ⅱ,1,専門,必修,1
D-2021-24,計算機演習,1,専門,必修,1
D-2021-25,日本文化論,2,一般,選択,1
D-2021-26,国語ⅡA,2,一般,必修,1
D-2021-27,国語ⅡB,2,一般,必修,1
D-2021-28,歴史A,2,一般,必修,1
D-2021-29,歴史B,2,一般,必修,2
D-2021-30,英語ⅢＡ,2,一般,必修,1
D-2021-31,保健体育ⅡB,2,一般,必修,1
D-2021-32,線形代数ⅠA,2,一般,必修,1
D-2021-33,線形代数ⅠB,2,一般,必修,1
D-2021-34,微分積分ⅠA,2,一般,必修,2
D-2021-35,微分積分ⅠB,2,一般,必修,2
D-2021-36,物理学ⅡA,2,一般,必修,1
D-2021-37,物理学ⅡB,2,一般,必修,1
D-2021-38,化学ⅠA,2,一般,必修,1
D-2021-39,化学ⅠB,2,一般,必修,1
D-2021-40,英語ⅢＢ,2,一般,必修,1
D-2021-41,英語ⅣＡ,2,一般,必修,1
D-2021-42,英語ⅣＢ,2,一般,必修,1
D-2021-43,保健体育ⅡA,2,一般,必修,1
D-2021-44,電気回路Ⅰ,2,専門,必修,1
D-2021-45,電子計算機Ⅱ,2,専門,必修,1
D-2021-46,電子計算機Ⅲ,2,専門,必修,1
D-2021-47,プログラミング技法Ⅰ,2,専門,必修,1
D-2021-48,プログラミング技法Ⅱ,2,専門,必修,1
D-2021-49,実験実習Ⅰ,2,専門,必修,1
D-2021-50,実験実習Ⅱ,2,専門,必修,1
D-2021-51,製図Ⅰ,2,専門,必修,1
D-2021-52,製図Ⅱ,2,専門,必修,1
D-2021-53,電磁気学Ⅰ,2,専門,必修,1
D-2021-54,国語Ⅲ,3,一般,必修,1
