ID,教科名,学年,科目,区分,単位数
E-2021-0,国語ⅠA,1,一般,必修,2
E-2021-1,物理学Ⅰ,1,一般,必修,1
E-2021-2,基礎科学,1,一般,必修,1
E-2021-3,基礎数学Ⅲ,1,一般,必修,1
E-2021-4,基礎数学Ⅱ,1,一般,必修,2
E-2021-5,基礎数学Ⅰ,1,一般,必修,3
E-2021-6,保健体育ⅠB,1,一般,必修,1
E-2021-7,保健体育ⅠA,1,一般,必修,1
E-2021-8,英文法,1,一般,必修,2
E-2021-9,英語ⅡB,1,一般,必修,1
E-2021-10,英語ⅡA,1,一般,必修,1
E-2021-11,英語ⅠB,1,一般,必修,1
E-2021-12,英語ⅠA,1,一般,必修,1
E-2021-13,美術,1,一般,必修,1
E-2021-14,地理B,1,一般,必修,2
E-2021-15,地理A,1,一般,必修,1
E-2021-16,国語ⅠB,1,一般,必修,2
E-2021-17,基礎化学ⅠA,1,一般,必修,1
E-2021-18,基礎化学ⅠB,1,一般,必修,1
E-2021-19,技術者入門Ⅰ,1,専門,必修,1
E-2021-20,技術者入門Ⅱ,1,専門,必修,1
E-2021-21,電気電子工学入門,1,専門,必修,1
E-2021-22,情報リテラシー,1,専門,必修,1
E-2021-23,プログラミングⅠ,1,専門,必修,1
E-2021-24,ディジタル回路Ⅰ,1,専門,必修,1
E-2021-25,電気電子製図Ⅰ,1,専門,必修,1
E-2021-26,日本文化論,2,一般,選択,1
E-2021-27,国語ⅡA,2,一般,必修,1
E-2021-28,国語ⅡB,2,一般,必修,1
E-2021-29,歴史A,2,一般,必修,1
E-2021-30,歴史B,2,一般,必修,2
E-2021-31,英語ⅢＡ,2,一般,必修,1
E-2021-32,英語ⅢＢ,2,一般,必修,1
E-2021-33,英語ⅣＡ,2,一般,必修,1
E-2021-34,英語ⅣＢ,2,一般,必修,1
E-2021-35,保健体育ⅡA,2,一般,必修,1
E-2021-36,保健体育ⅡB,2,一般,必修,1
E-2021-37,線形代数ⅠA,2,一般,必修,1
E-2021-38,線形代数ⅠB,2,一般,必修,1
E-2021-39,微分積分ⅠA,2,一般,必修,2
E-2021-40,微分積分ⅠB,2,一般,必修,2
E-2021-41,物理学ⅡA,2,一般,必修,1
E-2021-42,物理学ⅡB,2,一般,必修,1
E-2021-43,化学ⅠA,2,一般,必修,1
E-2021-44,化学ⅠB,2,一般,必修,1
E-2021-45,工学基礎演習Ⅰ,2,専門,必修,1
E-2021-46,電気磁気学ⅠA,2,専門,必修,1
E-2021-47,電気磁気学ⅠB,2,専門,必修,1
E-2021-48,電気回路ⅠA,2,専門,必修,1
E-2021-49,電気回路ⅠB,2,専門,必修,1
E-2021-50,プログラミングⅡ,2,専門,必修,1
E-2021-51,実験実習ⅠA,2,専門,必修,2
E-2021-52,実験実習ⅠB,2,専門,必修,2
E-2021-53,国語Ⅲ,3,一般,必修,1
E-2021-54,現代社会A,3,一般,必修,1
E-2021-55,現代社会B,3,一般,必修,2
E-2021-56,英語ⅤA,3,一般,必修,1
E-2021-57,英語ⅤB,3,一般,必修,1
E-2021-58,体育ⅠA,3,一般,必修,1
E-2021-59,体育ⅠB,3,一般,必修,1
E-2021-60,線形代数Ⅱ,3,一般,必修,1
E-2021-61,微分積分Ⅱ,3,一般,必修,2
E-2021-62,微分積分Ⅲ,3,一般,必修,2
E-2021-63,ﾗｲﾌｻｲｴﾝｽ・ｱｰｽｻｲｴﾝｽ,3,一般,必修,1
E-2021-64,物理学Ⅲ,3,一般,必修,1
E-2021-65,物理学Ⅳ,3,一般,必修,1
E-2021-66,化学Ⅱ,3,一般,必修,1
E-2021-67,一般特別セミナー,3,一般,必修選択,1
E-2021-68,日本文化論,3,一般,選択,1
E-2021-69,ドイツ語ⅠA,3,一般,必修,1
E-2021-70,ドイツ語ⅠB,3,一般,必修,1
E-2021-71,日本語ⅠA,3,一般,必修（留学生）,1
E-2021-72,日本語ⅠB,3,一般,必修（留学生）,1
E-2021-73,日本事情ⅠA,3,一般,必修（留学生）,1
E-2021-74,日本事情ⅠB,3,一般,必修（留学生）,1
E-2021-75,日本事情ⅡA,3,一般,必修（留学生）,1
E-2021-76,日本事情ⅡB,3,一般,必修（留学生）,1
E-2021-77,日本事情Ⅲ,3,一般,必修（留学生）,1
E-2021-78,工学基礎演習Ⅱ,3,専門,必修,1
E-2021-79,電気磁気学ⅡA,3,専門,必修,1
E-2021-80,電気磁気学ⅡB,3,専門,必修,1
E-2021-81,電気回路ⅡA,3,専門,必修,1
E-2021-82,電気回路ⅡB,3,専門,必修,1
E-2021-83,電子工学Ⅰ,3,専門,必修,1
E-2021-84,電子工学Ⅱ,3,専門,必修,1
E-2021-85,ディジタル回路Ⅱ,3,専門,必修,1
E-2021-86,組み込みﾌﾟﾛｸﾞﾗﾐﾝｸﾞ,3,専門,必修,1
E-2021-87,実験実習ⅡA,3,専門,必修,2
E-2021-88,実験実習ⅡB,3,専門,必修,2
E-2021-89,機械工作実習,3,専門,必修,1
E-2021-90,プロジェクト実習,3,専門,必修選択,1
E-2021-91,国語表現,4,一般,必修,1
E-2021-92,体育Ⅱ,4,一般,必修,1
E-2021-93,英語演習ⅠＡ,4,一般,必修選択,1
E-2021-94,英会話ⅠＡ,4,一般,必修選択,1
E-2021-95,英語演習ⅠＢ,4,一般,必修選択,1
E-2021-96,英会話ⅠＢ,4,一般,必修選択,1
E-2021-97,哲学A,4,一般,必修選択,2
E-2021-98,経済学A,4,一般,必修選択,2
E-2021-99,社会学A,4,一般,必修選択,2
E-2021-100,哲学B,4,一般,必修選択,2
E-2021-101,経済学B,4,一般,必修選択,2
E-2021-102,社会学B,4,一般,必修選択,2
E-2021-103,中国語ⅠA,4,一般,選択,1
E-2021-104,中国語ⅠB,4,一般,選択,1
E-2021-105,日本文化論,4,一般,選択,1
E-2021-106,日本語ⅡＡ,4,一般,必修,1
E-2021-107,日本語ⅡＢ,4,一般,必修,1
E-2021-108,英語演習ⅠＡ,4,一般,必修選択,1
E-2021-109,英語演習ⅠＢ,4,一般,必修選択,1
E-2021-110,ドイツ語ⅡA,4,一般,選択,1
E-2021-111,ドイツ語ⅡB,4,一般,選択,1
E-2021-112,応用物理実験,4,専門,必修,1
E-2021-113,電気磁気学ⅢA,4,専門,必修,2
E-2021-114,電気磁気学ⅢB,4,専門,必修,2
E-2021-115,電気回路ⅢA,4,専門,必修,2
E-2021-116,電気回路ⅢB,4,専門,必修,2
E-2021-117,電子回路Ⅰ,4,専門,必修,2
E-2021-118,電子回路Ⅱ,4,専門,必修,2
E-2021-119,電気機器Ⅰ,4,専門,必修,2
E-2021-120,電気機器Ⅱ,4,専門,必修,2
E-2021-121,制御工学,4,専門,必修,2
E-2021-122,実験実習ⅢA,4,専門,必修,2
E-2021-123,実験実習ⅢB,4,専門,必修,2
E-2021-124,課題研究,4,専門,必修,2
E-2021-125,応用数学A,4,専門,必修選択,2
E-2021-126,応用数学C,4,専門,必修選択,2
E-2021-127,工業英語,4,専門,選択,2
