ID,教科名,学年,科目,区分,単位数
M-2025-0,国語IA,1,一般,必修,1
M-2025-1,国語IB,1,一般,必修,1
M-2025-2,地理A,1,一般,必修,1
M-2025-3,地理B,1,一般,必修,1
M-2025-4,芸術,1,一般,必修,1
M-2025-5,英語(ＬＳ)IA,1,一般,必修,1
M-2025-6,英語(ＬＳ)IB,1,一般,必修,1
M-2025-7,英語(ＲＷ)IA,1,一般,必修,1
M-2025-8,英語(ＲＷ)IB,1,一般,必修,1
M-2025-9,英語(Ｇ)A,1,一般,必修,1
M-2025-10,英語(Ｇ)B,1,一般,必修,1
M-2025-11,保健体育IA,1,一般,必修,1
M-2025-12,保健体育IB,1,一般,必修,1
M-2025-13,基礎数学I,1,一般,必修,3
M-2025-14,基礎数学II,1,一般,必修,2
M-2025-15,基礎数学III,1,一般,必修,1
M-2025-16,基礎科学,1,一般,必修,1
M-2025-17,物理学I,1,一般,必修,1
M-2025-18,基礎化学IA,1,一般,必修,1
M-2025-19,基礎化学IB,1,一般,必修,1
M-2025-20,情報処理I,1,専門,必修,1
M-2025-21,情報処理II,1,専門,必修,1
M-2025-22,図学製図I,1,専門,必修,1
M-2025-23,図学製図II,1,専門,必修,1
M-2025-24,技術者入門I,1,専門,必修,1
M-2025-25,技術者入門II,1,専門,必修,1
M-2025-26,工学実験IA,1,専門,必修,1
M-2025-27,工学実験IB,1,専門,必修,1
M-2025-28,情報セキュリティ演習,1,専門,選択,1
M-2025-29,国語IIA,2,一般,必修,1
M-2025-30,国語IIB,2,一般,必修,1
M-2025-31,歴史A,2,一般,必修,1
M-2025-32,歴史B,2,一般,必修,2
M-2025-33,英語(LS)IIA,2,一般,必修,1
M-2025-34,英語(LS)IIB,2,一般,必修,1
M-2025-35,英語(RW)IIA,2,一般,必修,1
M-2025-36,英語(RW)IIB,2,一般,必修,1
M-2025-37,保健体育IIA,2,一般,必修,1
M-2025-38,保健体育IIB,2,一般,必修,1
M-2025-39,線形代数IA,2,一般,必修,1
M-2025-40,線形代数IB,2,一般,必修,1
M-2025-41,微分積分IA,2,一般,必修,2
M-2025-42,微分積分IB,2,一般,必修,2
M-2025-43,物理学IIA,2,一般,必修,1
M-2025-44,物理学IIB,2,一般,必修,1
M-2025-45,化学IA,2,一般,必修,1
M-2025-46,化学IB,2,一般,必修,1
M-2025-47,情報処理III,2,専門,必修,1
M-2025-48,機構学I,2,専門,必修,1
M-2025-49,工業力学I,2,専門,必修,1
M-2025-50,工業力学II,2,専門,必修,1
M-2025-51,設計製図I,2,専門,必修,1
M-2025-52,電気回路,2,専門,必修,1
M-2025-53,工学実験IIA,2,専門,必修,1
M-2025-54,工学実験IIB,2,専門,必修,1
M-2025-55,製作実習I,2,専門,必修,2
M-2025-56,情報セキュリティ演習,2,専門,選択,1
M-2025-57,日本文化論,3,一般,選択,1
M-2025-58,国語III,3,一般,必修,1
M-2025-59,現代社会A,3,一般,必修,1
